Group/Artist,Song,Score,Comment,YT Link,Due November 1st
SNSD,Mr. Mr.,10,,https://www.youtube.com/watch?v=Z8j_XEn9b_8,
SNSD,Catch Me If You Can,10,,https://www.youtube.com/watch?v=b09U0KLv6I4,
SNSD,Party,3,,https://www.youtube.com/watch?v=HQzu7NYlZNQ,
SNSD,Lion Heart,10,,https://www.youtube.com/watch?v=nVCubhQ454c,
SNSD,You Think,8,,https://www.youtube.com/watch?v=hJYGddE0vHc,
SNSD,Sailing (0805),4,,https://www.youtube.com/watch?v=UlhR0zBFxZE,
SNSD,All Night,6,,https://www.youtube.com/watch?v=f4w8IbQTJpY,
SNSD,Holiday,5,,https://www.youtube.com/watch?v=YwN-CN9EjTg,
SNSD,Overall,6,cute snsd is cringe. Should have added the japanese songs lol ,,
T-ara,Lie,7,,https://www.youtube.com/watch?v=U7qJMC5TLV8,
T-ara,Bo Peep Bo Peep,1,the chorus is sooo unbelievably annoying ,https://www.youtube.com/watch?v=NpYvilmhONQ,
T-ara,Like The First Time,7,the rap lmao ,https://www.youtube.com/watch?v=EWSTtFoD0Ms,
T-ara,You Drive Me Crazy,8,,https://www.youtube.com/watch?v=d70FQdraoYI,
T-ara,I'm In Pain,7,,https://www.youtube.com/watch?v=NobleBtJNiQ,
T-ara,What's Wrong,7,,https://www.youtube.com/watch?v=h7ewuda5th4,
T-ara,Yayaya,0,oof. Lets not talk about the mv. What producer thought this was good enough to be relases lol ,https://www.youtube.com/watch?v=sLfRdyqxXJk,
T-ara,Roly-Poly,6,,https://www.youtube.com/watch?v=xyKdijPsPJw,
T-ara,Roly-Poly in Copacabana,6,,https://www.youtube.com/watch?v=3Xolk2cFzlo,
T-ara,Cry Cry,9,the choreo,https://www.youtube.com/watch?v=5M69TE1yzt4,
T-ara,Lovey-Dovey,5,zombies all around and the girls singing memes lol ,https://www.youtube.com/watch?v=CJ0djllyqwY,
T-ara,Day by Day,5,,https://www.youtube.com/watch?v=kb6mCsvLqP0,
T-ara,Sexy Love,10,sexyyyy,https://www.youtube.com/watch?v=ShVRP09NCO4,
T-ara,Number Nine,8,,https://www.youtube.com/watch?v=Qk52ypnGs68,
