Group/Artist,Song,Score,Comment,YT Link,Due November 1st
SNSD,The Boys,8,,https://www.youtube.com/watch?v=6pA_Tou-DPI,
SNSD,Mr. Taxi,7,,https://www.youtube.com/watch?v=-QDgMh_9Dy0,
SNSD,Dancing Queen,4,,https://www.youtube.com/watch?v=EXZxc8GSXnI,
SNSD,I Got A Boy,9,,https://www.youtube.com/watch?v=wq7ftOZBy0E,
SNSD,Mr. Mr.,10,,https://www.youtube.com/watch?v=Z8j_XEn9b_8,
SNSD,Catch Me If You Can,6,,https://www.youtube.com/watch?v=b09U0KLv6I4,
SNSD,Party,2,,https://www.youtube.com/watch?v=HQzu7NYlZNQ,
SNSD,Lion Heart,4,,https://www.youtube.com/watch?v=nVCubhQ454c,
SNSD,You Think,7,,https://www.youtube.com/watch?v=hJYGddE0vHc,
SNSD,Sailing (0805),7,,https://www.youtube.com/watch?v=UlhR0zBFxZE,
SNSD,All Night,10,,https://www.youtube.com/watch?v=f4w8IbQTJpY,
SNSD,Holiday,10,,https://www.youtube.com/watch?v=YwN-CN9EjTg,
SNSD,Overall,10,put some respect on em,,
T-ara,Lie,10,,https://www.youtube.com/watch?v=U7qJMC5TLV8,
T-ara,Bo Peep Bo Peep,10,,https://www.youtube.com/watch?v=NpYvilmhONQ,
T-ara,Like The First Time,10,bang pd gave em a banger ty hitman,https://www.youtube.com/watch?v=EWSTtFoD0Ms,
T-ara,You Drive Me Crazy,10,,https://www.youtube.com/watch?v=d70FQdraoYI,
T-ara,I'm In Pain,10,,https://www.youtube.com/watch?v=NobleBtJNiQ,
T-ara,What's Wrong,9,,https://www.youtube.com/watch?v=h7ewuda5th4,
T-ara,Yayaya,2,what we arent gonna do is let this be above any other t-ara song,https://www.youtube.com/watch?v=sLfRdyqxXJk,
T-ara,Roly-Poly,10,an actual cultural reset,https://www.youtube.com/watch?v=xyKdijPsPJw,
T-ara,Roly-Poly in Copacabana,8,its a good remix but no its not better than the original flixer,https://www.youtube.com/watch?v=3Xolk2cFzlo,
T-ara,Cry Cry,10,style change into the more mature and they nail it,https://www.youtube.com/watch?v=5M69TE1yzt4,
T-ara,Lovey-Dovey,11,a tough choice for the 11 but I think my increased love of T-ara over the last year makes this feel right,https://www.youtube.com/watch?v=CJ0djllyqwY,
T-ara,Day by Day,9,,https://www.youtube.com/watch?v=kb6mCsvLqP0,
T-ara,Sexy Love,10,,https://www.youtube.com/watch?v=ShVRP09NCO4,
T-ara,Number Nine,10,,https://www.youtube.com/watch?v=Qk52ypnGs68,
T-ara,Because I Know,10,,https://www.youtube.com/watch?v=7IzezDJrHoU,
T-ara,Do You Know Me,10,,https://www.youtube.com/watch?v=u6oprfVLxAQ,
T-ara,Hide & Seek,6,,https://www.youtube.com/watch?v=nyGV8RLey-8,
T-ara,Sugar Free,10,,https://www.youtube.com/watch?v=q_eo5j5sib8,
T-ara,So Crazy,10,,https://www.youtube.com/watch?v=maSoUetHock,
T-ara,Tiamo,5,,https://www.youtube.com/watch?v=xJHUKzz1vss,
T-ara,What's My Name?,7,,https://www.youtube.com/watch?v=_eQTd-fsKsQ,
T-ara,Overall,10,"what a journey me and t-ara have been on together, they have some of the biggest hits in kpop history and rightfully so. their mix of quirky beats & vocals with edm and r&b notes is so good, truly deserved to keep being one of the biggest girl groups",,
Wonder Girls,Irony,2,offensive debut,https://www.youtube.com/watch?v=uxFxoLxmcdg,
Wonder Girls,Tell Me,5,,https://www.youtube.com/watch?v=BlHv3BbBv6A,
Wonder Girls,So Hot,6,,https://www.youtube.com/watch?v=lmun5PO54VE,
Wonder Girls,Nobody,8,,https://www.youtube.com/watch?v=QZBn1e9pr2Q,
Wonder Girls,2 Different Tears,9,,https://www.youtube.com/watch?v=Rxh3_sr5UAE,
Wonder Girls,Be My Baby,5,,https://www.youtube.com/watch?v=3fy4cqWMhyI,
Wonder Girls,The DJ Is Mine,1,this shit is so generic and corny,https://www.youtube.com/watch?v=doXnuStEf2I,
Wonder Girls,Like This,5,,https://www.youtube.com/watch?v=7EZTUYwjWBs,
Wonder Girls,Like Money,0,"completely and utterly creatively dead, I mean the album was called Reboot for a reason",https://www.youtube.com/watch?v=quE6Cq4Q2bs,
Wonder Girls,I Feel You,10,,https://www.youtube.com/watch?v=V9QXQz6uE0M,
Wonder Girls,Why So Lonely,10,,https://www.youtube.com/watch?v=PYGODWJgR-c,
Wonder Girls,Overall,5,I like the idea of wonder girls more than I actually like wonder girls,,
