Group/Artist,Song,Score,Comment,YT Link,Due November 1st
Kara,Lupin,10,BANGS,https://www.youtube.com/watch?v=j7TYiyEhxdI,
Kara,Jumping,10,BANGS,https://www.youtube.com/watch?v=SweXhOQPMdM,
Kara,Step,10,"BANGS, AT THIS POINT KARA CAN DO NO WRONG",https://www.youtube.com/watch?v=zYoYoBtLqOY,
Kara,Pandora,10,"BANGS, I TOLD YOU KARA CAN DO NO WRONG ANYMORE",https://www.youtube.com/watch?v=g0XpNvLWimo,
Kara,Damaged Lady,10,MORE GUITARS MEANS MORE BANGS,https://www.youtube.com/watch?v=_vHw17-zFa4,
Kara,Mamma Mia!,10,BANGS,https://www.youtube.com/watch?v=AEAdE9wSqwg,
Kara,Cupid,10,BANGS,https://www.youtube.com/watch?v=74RzHIpZuDY,
Kara,Overall,9,"KARA just BANG man, like they don't really have a bad song for me, and from IF YOU WANNA PRETTY to C U P I D they literally could not do any wrong.",,
Miss A,Bad Girl Good Girl,10,"This blew my mind when it first came out, JYP on some eclectic listening.",https://www.youtube.com/watch?v=8TeeJvcBdLA,
Miss A,Breathe,0,"Yeah this is shit. One of the very times JYP missed with his girl group R&B, I don't even know what he took when writing this shit because the melodic contour is absolutely HORRENDOUS.",https://www.youtube.com/watch?v=wTnwjlDhAY4,
Miss A,Love Alone,10,BANGS,https://www.youtube.com/watch?v=dBR0oEUIoGI,
Miss A,Goodbye Baby,10,GOODBYE BABY - my ex,https://www.youtube.com/watch?v=EYKO1za5mX0,
Miss A,Touch,10,SO FUCKING SEXY,https://www.youtube.com/watch?v=aF8Fst_zonU,
Miss A,I Don't Need A Man,10,YES GIRLS YOU DON'T NEED NO STINKY MEN LIKE ME,https://www.youtube.com/watch?v=EkSOOiMDGiY,
Miss A,Hush,10,BANGS,https://www.youtube.com/watch?v=dp0F18FFCTE,
Miss A,Only You,10,BANGS,https://www.youtube.com/watch?v=zO9RzrhYR-I,
Miss A,Overall,9,"Miss A could've been a perfect 10, sadly Breathe exists, and they fall of in my average standings, that's actually sad, as I think Miss A has one of the best girl group discographies out there, at least when we're talking about title tracks.",,
Sistar,Push Push,7,"2ne1 but worse, but still nice.",https://www.youtube.com/watch?v=75y5iN7z-08,
Sistar,Shady Girl,7,I love Heechul.,https://www.youtube.com/watch?v=7VpLniRbPI8,
Sistar,How Dare You,10,How dare you be this HOT Hyolyn.,https://www.youtube.com/watch?v=DQ1hvB_L30o,
Sistar,So Cool,8,"Not Bravesound's best, but still kinda bangs.",https://www.youtube.com/watch?v=Pj3q0ZChgFE,
Sistar,Alone,10,BANGS,https://www.youtube.com/watch?v=E0ZHXVp_wUE,
Sistar,Loving U,10,"This is the best Sistar summer song and if anyone does not agree - well it's okay since it's their musical opinion and music is subjective, but it makes me sad that you think this isn't their best.",https://www.youtube.com/watch?v=oL2AlXWVbKU,
Sistar,Give It To Me,8,I give all of me to you Hyolyn.,https://www.youtube.com/watch?v=p6XLNsJ9YrA,
Sistar,Touch My Body,9,"Okay, if you want me to.",https://www.youtube.com/watch?v=9txzvu6eQuw,
Sistar,I Swear,7,I really should hate songs like this but it's just so fun you know.,https://www.youtube.com/watch?v=ktEEjk3Xy3s,
Sistar,Shake It,7,"A copy of all their earlier summer hits, and why not I guess.",https://www.youtube.com/watch?v=x9-TIy7WPQI,
Sistar,I Like That,10,"This shit is great, makes me kinda sad we didn't get more of this type of song.",https://www.youtube.com/watch?v=LJVUjmNMF8c,
Sistar,Lonely,3,Snore.,https://www.youtube.com/watch?v=KbXV2R_Yd1E,
Sistar,Overall,8,"SUMMER QUEENS, but like their best songs aren't their summer songs LOL that's kinda sad and what's sadder is they're more known for their summer songs, which are all good not gonna lie, but their best songs aren't those summer songs, but oh well they still BANG.",,
SNSD,Into The New World,10,PLEASE RISE FOR THE NATIONAL ANTHEM.,https://www.youtube.com/watch?v=0k2Zzkw_-0I,
SNSD,Girls' Generation,10,THIS FUCKING BANGS,https://www.youtube.com/watch?v=IbLh4i40I4E,
