Song,Average,Total,Controversy,Jade,Lynne,Paige,Egg,claudia,Barron,Dubi,Marlon,Sam,Sammi,aidan,Cooper,Joccarri,Eye Smile,FlixerDK,Fleur,Nate,Aubrey,,,,
Eye Smile,5.5625,,,,,,,,,,,,,,,,,,,,,,,,
Barron,5.25,,,,,,,,,,,,,,,,,,,,,,,,
aidan,5.1875,,,,,,,,,,,,,,,,,,,,,,,,
Egg,4.125,,,,,,,,,,,,,,,,,,,,,,,,
Joccarri,3.3125,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Infinite,Inspirit,,,,,,,,,,,,,,,,,,,,,,,,
Lynne,9.5,,,,,,,,,,,,,,,,,,,,,,,,
sammi,9.5,,,,,,,,,,,,,,,,,,,,,,,,
Sam,9.357142857,,,,,,,,,,,,,,,,,,,,,,,,
Nate,9.357142857,,,,,,,,,,,,,,,,,,,,,,,,
Cooper,9.214285714,,,,,,,,,,,,,,,,,,,,,,,,
Jade,8.571428571,,,,,,,,,,,,,,,,,,,,,,,,
claudia,8.571428571,,,,,,,,,,,,,,,,,,,,,,,,
Paige,8.428571429,,,,,,,,,,,,,,,,,,,,,,,,
Dubi,7.642857143,,,,,,,,,,,,,,,,,,,,,,,,
FlixerDK,7.357142857,,,,,,,,,,,,,,,,,,,,,,,,
aidan,7.071428571,,,,,,,,,,,,,,,,,,,,,,,,
Marlon,6.785714286,,,,,,,,,,,,,,,,,,,,,,,,
Joccarri,6.642857143,,,,,,,,,,,,,,,,,,,,,,,,
Egg,6.428571429,,,,,,,,,,,,,,,,,,,,,,,,
Barron,6.428571429,,,,,,,,,,,,,,,,,,,,,,,,
Fleur,6.285714286,,,,,,,,,,,,,,,,,,,,,,,,
Aubrey,6.142857143,,,,,,,,,,,,,,,,,,,,,,,,
Eye Smile,4.785714286,,,,,,,,,,,,,,,,,,,,,,,,
