Month,Group/Artist,Song,Score,Comment,Youtube Link,Rules:,https://docs.google.com/document/d/1fCOUayB2IzAe-MgeLFxAJ3PdbElL-ArnGOlHI-gQH2I/edit?usp=sharing,Song Count:,201
Five ,C Jamm,Beautiful ft Zico,5,,https://www.youtube.com/watch?v=YxAvbXXdugM,,,,
Five ,Xitsuh,And ft Suran ,8,,https://www.youtube.com/watch?v=K4j0BqPGAnk,,,,
Five ,Superbee,Sun Block ft Microdot,5,Fuck Superbee,https://www.youtube.com/watch?v=36YBXjkQiJU,,,,
Five ,Bewhy,Day Day ft Jay Park ,10,,https://www.youtube.com/watch?v=KQVWDEFFQr8,,,,
Five ,Reddy ,Like This ft Bobby ,3,This song got two bonus points for the live band,https://www.youtube.com/watch?v=EzmoE5YlMdE,,,,
Five ,"The Quiett, Dok2, Superbee ",Air DoTheQ part 2,7,Fuck Superbee,https://www.youtube.com/watch?v=MMGAmcMmttk,,,,
Five ,C Jamm,MM,7,,https://www.youtube.com/watch?v=zMZZTTsW9dw,,,,
Five ,"Bewhy, Simon D ",XamBaqJa,4,,https://www.youtube.com/watch?v=2cFTTD_BY7c,,,,
Five ,C Jamm,Let It Be ft Crush ,8,,https://www.youtube.com/watch?v=x56Jqp5avEs,,,,
Five ,Bewhy ,Fake pt 2,8,,https://www.youtube.com/watch?v=Q0MlUiMB2N4,,,,
Five ,"Flowsik, Hash Swan, Boi B, Wun, G2",Goblin / Dokkaebi ,6,,https://www.youtube.com/watch?v=QpYvnh0-ApU,,,,
Five ,Mad Clown ,Bad Blood ,3,,https://www.youtube.com/watch?v=IcnmUdmY3wo ,,,,
Five ,N/A,,,,,,,,
Six ,"Hanhae, Ryno, Nucksal, Jo Woochan",1/N ft Dynamic Duo ,6,,https://www.youtube.com/watch?v=tO_Yb4nIKuI,,,,
Six ,"Maniac, Black Nine, Asol, Woo Wonjae ","Chopsticks ft Tiger JK, Bizzy, Ann One ",6,Started out strong but got worse,https://www.youtube.com/watch?v=-fT9xcuNjm0,,,,
Six ,"Ja Mezz, Ness, Woodie Gochild, Junoflo ","Life is A Gamble ft Jay Park, Dok2 ",7,,https://www.youtube.com/watch?v=3a3R75nYl4w,,,,
Six ,"Young B, Hash Swan, Killagramz, Hangzoo ","People These Days / Yozm gang ft Zico, Dean ",2,,https://www.youtube.com/watch?v=l7PJY8FKD84,,,,
Six ,Killagramz,"Where / where u at ft Zico, Dean ",4,,https://www.youtube.com/watch?v=1iaEml1jNH8,,,,
Six ,Hanhae ,"Gather At The lobby/ lobby ft dynamic duo, Chungha, Muzie ",9,"Bonus point for Chungha, even though her feature needed to be longer",https://www.youtube.com/watch?v=-JmE-omJKcw,,,,
Six ,Maniac ,"Killin it ft Koonta, Babylon ",1,The beginning was good and then it just got completely ruined by the screaming dude,https://www.youtube.com/watch?v=phZzSiHQZwQ ,,,,
Six ,Junoflo,"Eyes On Me ft G.Soul, Dok2 ",8,,https://www.youtube.com/watch?v=CoV83WSaXCY,,,,
Six ,Ja Mezz ,"Birthday ft Jay Park, Dok2 ",6,,https://www.youtube.com/watch?v=ENgHb5sTt9Y,,,,
Six ,Woo Wonjae ,"Again/ T.O ft Tiger JK, Bizzy, MRSHLL ",9,,https://www.youtube.com/watch?v=TuxAPgjXDTk,,,,
Six ,"Hangzoo, Young B ","Search ft Car the garden, Zico ",6,That lost a lot of points at the end,https://www.youtube.com/watch?v=bTchEG-T7cA,,,,
Six ,"Nucksal, Jo Woochan ","What You Call Is The Price/ Brr Get$  ft Gaeko, Don Mills ",8,,https://www.youtube.com/watch?v=foIUUBaqlsg,,,,
Six ,Jo Woochan ,"VVIP ft Sik-k, Gaeko",9,,https://www.youtube.com/watch?v=gf_IAIM_21o,,,,
Six ,Woo Wonjae ,"Pendulum/ Zinza ft YDG, Suran ",8,"YDG ruined the entire song, shoulda been a 10",https://www.youtube.com/watch?v=ZtrEur-OLiA,,,,
Six ,Hanhae ,"One Sun ft Shin YongJae, Gaeko ",5,,https://www.youtube.com/watch?v=S7OyXfzShfM,,,,
Six ,Hangzoo ,"Red Sun ft Zico, Swings ",4,Cover of the DreamCatcher song,https://www.youtube.com/watch?v=A7Y3FcH3-YU,,,,
Six ,Junoflo ,"Twisted ft Kim Hyoeun, Changmo ",8,,https://www.youtube.com/watch?v=SwP9E_GvBKQ,,,,
Six ,Nucksal,Filament ft Kim Bumsoo ,8,,https://www.youtube.com/watch?v=2mLVwuFCFZM,,,,
Six ,Nucksal ,"Born Expert/ Three Kings ft Dynamic Duo, DJ Friz ",7,,https://www.youtube.com/watch?v=8VG5hkwMXDo,,,,
Six ,Hangzoo ,"Bestdriverz ft Dean, Zion T ",10,,https://www.youtube.com/watch?v=93HdxDoZcVk,,,,
Six ,Woo Wonjae ,Move ft Bizzy ,9,,https://www.youtube.com/watch?v=OgCBpmjxEuo,,,,
Six ,Nucksal,Even When the Curtains Fall/ feelin good  ft Gaeko ,9,,https://www.youtube.com/watch?v=JYQbm10Wq2k,,,,
Six ,Hangzoo,Turn Around ft DJ Doc ,5,,https://www.youtube.com/watch?v=NrnRNlT63bg,,,,
Six ,Dynamic Duo ,Last Man Standing ,5,,https://www.youtube.com/watch?v=qR-BVk_wFCg,,,,
Six ,"Sleepy, Hash Swan, Olltii, Black Nine, Punchnello, penomeco, Ignito ",S.M.T.M (Show Me the Money) ,3,,https://www.youtube.com/watch?v=v4l4uNagDOo,,,,
Six ,N/A,,,,,,,,
Seven ,"Coogie, Superbee, D.Ark ",SaimSaim ft Changmo ,4,Fuck Superbee,https://www.youtube.com/watch?v=MFSoKbN_kB4,,,,
Seven ,"Nafla, OLNL, ODEE ","Science Fiction Technology/ SF Skills ft Giriboy, Swings ",4,,https://www.youtube.com/watch?v=i5tpnJqoaIo,,,,
Seven ,"Keem Hyoeun, Chaboom, EK ","PAE ft Nucksal, Deepflow ",5,,https://www.youtube.com/watch?v=VAqE6sSzfSE,,,,
